,Unnamed: 0,Uber Type,Origin Region,Destination Region,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude,Journey Distance(m),Departure Date,Departure Time,Travel Time(s),Arrival Time,Fare$
0,ID3445392301,1.0,4,7,-37.8023453,145.00481609999997,-37.8618349,144.90571599999998,12160.0,2018-02-12,11:50:37,3877.800000000001,12:55:14,17.59
1,ID3345795485,1.0,2,7,-37.809074200000005,144.9316054,-37.8618349,144.90571599999998,10944.0,2018-05-02,12:46:44,3545.820000000001,13:45:49,23.03
2,ID1532168874,0.0,2,3,-37.816982700000004,144.9317622,-37.818243,144.9683745,4355.0,2018-07-08,14:26:01,1042.0800000000004,14:43:23,11.72
3,ID3994266090,1.0,6,4,-37.7908183,144.9857929,-37.8093139,145.0194308,4566.0,2018-01-20,17:48:41,1163.7,18:08:04,19.49
4,ID3256811386,1.0,7,1,-37.8618349,144.90571599999998,-37.803025500000004,144.94885580000002,9994.0,2018-06-20,05:43:38,3296.999999999997,6:38:35,26.79
5,ID1664439552,0.0,7,6,-37.8618349,144.90571599999998,-37.7874325,144.9803767,11633.0,2018-07-28,23:37:00,3645.2999999999984,0:37:45,16.03
6,ID1517194977,0.0,7,1,-37.8618349,144.90571599999998,-37.8080672,144.96921830000002,9121.0,2018-03-15,14:13:08,3050.819999999999,15:03:58,10.55
7,ID1370281742,0.0,3,7,-37.818758,145.0068563,-37.8618349,144.90571599999998,11239.0,2018-03-23,17:24:04,3558.600000000001,18:23:22,10.85
8,ID5419458950,2.0,7,1,-37.8618349,144.90571599999998,-37.816113200000004,144.9510539,9724.0,2018-01-12,20:37:22,3253.9199999999987,21:31:35,207.94
9,ID1284738859,0.0,1,7,-37.8166844,144.9700546,-37.8618349,144.90571599999998,7984.0,2018-02-02,18:44:14,2772.06,19:30:26,9.58
10,ID3510246874,1.0,4,1,-37.814892,145.0076791,-37.8067439,144.9490498,5717.0,2018-06-12,00:58:20,1410.0000000000007,1:21:50,21.85
11,ID3913868451,1.0,6,9,-37.7874421,144.9804091,-38.1109156,144.65417250000002,47035.0,2018-04-24,00:24:36,11407.86,3:34:43,56.89
12,ID1296407536,0.0,1,3,-37.8147461,144.9360479,-37.8121665,144.9880695,5284.0,2018-02-04,20:32:54,1275.5999999999995,20:54:09,10.09
13,ID3710106805,1.0,3,7,-37.8220691,144.9738881,-37.8618349,144.90571599999998,8181.0,2018-05-01,10:44:01,2809.2,11:30:50,16.05
14,ID1798354225,0.0,9,4,-38.1109156,144.65417250000002,-37.810137700000006,144.9965834,46606.0,2018-01-09,02:27:49,11190.720000000005,5:34:19,22.92
15,ID3192541658,1.0,2,6,-37.8131932,144.9364189,-37.773845,144.9836895,7525.0,2018-05-05,20:49:09,1671.6,21:17:00,23.06
16,ID1598054115,0.0,4,8,-37.804123,144.9958114,-37.8158343,145.04645,5104.0,2018-05-16,07:57:05,1600.56,8:23:45,4.52
17,ID3134477559,1.0,3,8,-37.81605020000001,144.97231509999997,-37.8158343,145.04645,6957.0,2018-04-06,15:58:20,2070.84,16:32:50,18.29
18,ID5326198397,2.0,3,2,-37.8243024,144.9694919,-37.8148844,144.93768269999998,3917.0,2018-03-17,01:23:16,1022.1600000000003,1:40:18,95.31
19,ID1389353903,0.0,2,8,-37.819767799999994,144.9426642,-37.8158343,145.04645,9780.0,2018-01-08,01:42:53,2684.7,2:27:37,13.0
20,ID1816579623,0.0,4,6,-37.799080100000005,144.9891289,-37.7874325,144.9803767,2346.0,2018-05-07,15:04:18,566.28,15:13:44,8.02
